variable,description,sector,confidence,rationale,industry,subsector,subtype,subsubtype,subsubsubtype
Secondary Energy|Hydrogen|Coal|w/ CCS,"Secondary Energy|Hydrogen|Coal|w/ CCS represents w/ ccs within the broader context of secondary energy > hydrogen > coal > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy, w, w/ ccs",Energy,0.9,"Variable represents hydrogen production from coal with CCS, a subsector of the fossil fuel industry.",Fossil Fuel Industry,Hydrogen (with CCS),,,
Secondary Energy|Hydrogen|Coal|w/o CCS,"Secondary Energy|Hydrogen|Coal|w/o CCS represents w/o ccs within the broader context of secondary energy > hydrogen > coal > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, energy, energy demand, energy sector, energy use, hydrogen, o, secondary, secondary energy, w, w/o ccs",Energy,0.9,"This variable represents the energy sector, specifically coal power with no carbon capture and storage (CCS).",Fossil Fuel Industry,Coal Power,,,
Secondary Energy|Hydrogen|Electricity,"Secondary Energy|Hydrogen|Electricity represents electricity within the broader context of secondary energy > hydrogen > electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy",Electricity,0.9,"This variable is part of the electricity sector, specifically focusing on renewable power sources like electricity.",Electric Power Generation Industry,Renewable Power,,,
Secondary Energy|Hydrogen|Fossil,"Secondary Energy|Hydrogen|Fossil represents fossil within the broader context of secondary energy > hydrogen > fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, fossil, hydrogen, secondary, secondary energy",Energy,0.8,"This variable represents the energy sector, specifically focusing on fossil fuels, but it's less precise compared to other options, so the confidence is lower.",Fossil Fuel Industry,Fossil Fuel Exploration and Production,,,
Secondary Energy|Hydrogen|Fossil|w/ CCS,"Secondary Energy|Hydrogen|Fossil|w/ CCS represents w/ ccs within the broader context of secondary energy > hydrogen > fossil > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, energy, energy demand, energy sector, energy use, fossil, hydrogen, secondary, secondary energy, w, w/ ccs",Energy,0.9,"This variable represents the energy sector, specifically coal power with carbon capture and storage (CCS).",Fossil Fuel Industry,Coal Power with CCS,,,
Secondary Energy|Hydrogen|Fossil|w/o CCS,"Secondary Energy|Hydrogen|Fossil|w/o CCS represents w/o ccs within the broader context of secondary energy > hydrogen > fossil > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, energy, energy demand, energy sector, energy use, fossil, hydrogen, o, secondary, secondary energy, w, w/o ccs",Energy,0.9,"This variable represents the energy sector, specifically coal power without carbon capture and storage (CCS).",Fossil Fuel Industry,Coal Power without CCS,,,
Secondary Energy|Hydrogen|Gas,"Secondary Energy|Hydrogen|Gas represents gas within the broader context of secondary energy > hydrogen > gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, gas, hydrogen, secondary, secondary energy",Energy,0.8,"This variable represents the energy sector, specifically focusing on natural gas, but it's less precise compared to other options, so the confidence is lower.",Fossil Fuel Industry,Natural Gas Production and Distribution,,,
Secondary Energy|Hydrogen|Gas|w/ CCS,"Secondary Energy|Hydrogen|Gas|w/ CCS represents w/ ccs within the broader context of secondary energy > hydrogen > gas > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, energy, energy demand, energy sector, energy use, gas, hydrogen, secondary, secondary energy, w, w/ ccs",Energy,0.8,"This variable represents the energy sector, specifically natural gas power with carbon capture and storage (CCS), but the industry and subsector are uncertain, so the confidence is lower.",Fossil Fuel Industry,Natural Gas Power with CCS,,,
Secondary Energy|Hydrogen|Gas|w/o CCS,"Secondary Energy|Hydrogen|Gas|w/o CCS represents w/o ccs within the broader context of secondary energy > hydrogen > gas > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, energy, energy demand, energy sector, energy use, gas, hydrogen, o, secondary, secondary energy, w, w/o ccs",Energy,0.9,"This variable represents the energy sector, specifically natural gas power without carbon capture and storage (CCS).",Fossil Fuel Industry,Natural Gas Power without CCS,,,
Secondary Energy|Hydrogen|Other,"Secondary Energy|Hydrogen|Other represents other within the broader context of secondary energy > hydrogen > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, hydrogen, other, secondary, secondary energy",Energy,0.7,"This variable represents the energy sector, specifically focusing on alternative energy sources, but it's quite vague and less precise, so the confidence is lower.",Alternative Energy Industry,Alternative Energy Sources,,,
Trade|Secondary Energy|Hydrogen|Volume,"Trade|Secondary Energy|Hydrogen|Volume represents volume within the broader context of trade > secondary energy > hydrogen > volume in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy, trade, volume",Trade,0.9,"This variable represents the trade sector, specifically energy trade, focusing on the volume of traded energy commodities.",,Energy Trade,,,
Policy Cost|Equivalent Variation,"Policy Cost|Equivalent Variation represents equivalent variation within the broader context of policy cost > equivalent variation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cost, equivalent, equivalent variation, policy, policy cost, variation",Energy Policy,0.9,"This variable represents the energy policy sector, specifically the economics of equivalent variation in energy policy.",,Energy Policy Economics,,,
Policy Cost|Welfare Change,"Policy Cost|Welfare Change represents welfare change within the broader context of policy cost > welfare change in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: change, cost, policy, policy cost, welfare, welfare change",Energy Policy,0.9,"This variable represents the energy policy sector, specifically the economics of welfare change in energy policy.",,Energy Policy Economics,,,
Carbon Sequestration|CCS|Biomass|Energy,"Carbon Sequestration|CCS|Biomass|Energy represents energy within the broader context of carbon sequestration > ccs > biomass > energy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, sequestration",Carbon Sequestration,0.8,"This variable represents the carbon sequestration sector, specifically focusing on CCS in biomass energy, but the industry and subsector are uncertain, so the confidence is lower.",,CCS in Biomass Energy,,,
