variable,description
Capacity|Gases|Coal|w/o CCS,"Capacity|Gases|Coal|w/o CCS represents w/o ccs within the broader context of capacity → gases → coal → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, coal, gases, o, w, w/o ccs"
Capacity|Liquids|Biomass,"Capacity|Liquids|Biomass represents biomass within the broader context of capacity → liquids → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, liquids"
Capacity|Liquids|Coal,"Capacity|Liquids|Coal represents coal within the broader context of capacity → liquids → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, coal, liquids"
Capacity|Liquids|Coal|w/ CCS,"Capacity|Liquids|Coal|w/ CCS represents w/ ccs within the broader context of capacity → liquids → coal → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, coal, liquids, w, w/ ccs"
Capacity|Liquids|Coal|w/o CCS,"Capacity|Liquids|Coal|w/o CCS represents w/o ccs within the broader context of capacity → liquids → coal → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, coal, liquids, o, w, w/o ccs"
Capacity|Liquids|Gas,"Capacity|Liquids|Gas represents gas within the broader context of capacity → liquids → gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, gas, liquids"
Capacity|Liquids|Gas|w/ CCS,"Capacity|Liquids|Gas|w/ CCS represents w/ ccs within the broader context of capacity → liquids → gas → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, gas, liquids, w, w/ ccs"
Capacity|Liquids|Gas|w/o CCS,"Capacity|Liquids|Gas|w/o CCS represents w/o ccs within the broader context of capacity → liquids → gas → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, gas, liquids, o, w, w/o ccs"
Capital Cost|Gases|Biomass|w/o CCS,"Capital Cost|Gases|Biomass|w/o CCS represents w/o ccs within the broader context of capital cost → gases → biomass → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capital, capital cost, ccs, cost, gases, o, w, w/o ccs"
Capital Cost|Gases|Coal|w/o CCS,"Capital Cost|Gases|Coal|w/o CCS represents w/o ccs within the broader context of capital cost → gases → coal → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, ccs, coal, cost, gases, o, w, w/o ccs"
Capital Cost|Hydrogen|Gas|w/o CCS,"Capital Cost|Hydrogen|Gas|w/o CCS represents w/o ccs within the broader context of capital cost → hydrogen → gas → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, ccs, cost, gas, hydrogen, o, w, w/o ccs"
Capital Cost|Liquids|Biomass|w/ CCS,"Capital Cost|Liquids|Biomass|w/ CCS represents w/ ccs within the broader context of capital cost → liquids → biomass → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capital, capital cost, ccs, cost, liquids, w, w/ ccs"
Capital Cost|Liquids|Coal|w/ CCS,"Capital Cost|Liquids|Coal|w/ CCS represents w/ ccs within the broader context of capital cost → liquids → coal → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, ccs, coal, cost, liquids, w, w/ ccs"
